record_id,train_number,train_name,origin_station_code,origin_station,destination_station_code,destination_station,journey_date,scheduled_departure,delay_minutes,train_status,delay_cause,passenger_count,occupancy_percent,platform_number,weather_condition,temperature_c,visibility_m,risk_score,risk_level,maintenance_flag,crowd_alert,anomaly_detected,eta_delay_minutes,recommended_action
725,13022,Garib Rath,MAS,Chennai Central,GKP,Gorakhpur,2026-04-03,17:45,0,Completed,No Delay,1603,61,10,Rain,41,9640,21,Low,0,1,1,0,Monitor
726,14305,Express,SBC,KSR Bengaluru City,SDAH,Sealdah,2026-08-24,04:45,12,Delayed,Platform Change,557,87,3,Clear,38,1404,32,Low,1,0,0,20,Monitor
727,14399,Vande Bharat,KOTA,Kota Junction,BCT,Mumbai Central,2026-03-10,16:00,40,At Risk,Signal Failure,492,56,6,Clear,25,7869,34,Low,0,0,1,36,Monitor
728,12643,Express,PUNE,Pune Junction,MAS,Chennai Central,2026-01-04,21:00,0,On Time,No Delay,683,100,17,Clear,23,9423,30,Low,1,1,0,0,Monitor
729,14403,Sampark Kranti,NGP,Nagpur Junction,ALD,Prayagraj Junction,2026-01-19,17:00,40,At Risk,Technical Fault,392,75,1,Clear,32,1257,45,Medium,0,0,0,47,Notify station control
730,14583,Intercity,NDLS,New Delhi,PNBE,Patna Junction,2026-08-05,14:30,0,On Time,No Delay,1100,74,8,Cloudy,35,8337,28,Low,0,0,1,3,Monitor
731,12982,Duronto,PUNE,Pune Junction,SDAH,Sealdah,2026-09-28,07:45,0,Completed,No Delay,706,86,1,Clear,27,5212,26,Low,0,0,1,0,Monitor
732,12652,Intercity,SDAH,Sealdah,BPL,Bhopal Junction,2026-03-24,16:15,999,Cancelled,Maintenance Work,975,66,15,Rain,25,5834,100,Critical,1,0,1,999,Escalate to operations command
733,12673,Vande Bharat,PUNE,Pune Junction,SBC,KSR Bengaluru City,2026-03-16,03:45,0,Completed,No Delay,1785,52,18,Rain,41,6988,20,Low,0,1,1,4,Monitor
734,12126,Vande Bharat,JP,Jaipur Junction,VSKP,Visakhapatnam,2026-04-13,18:15,0,On Time,No Delay,1530,54,13,Fog,43,609,33,Low,0,1,0,0,Monitor
735,12483,Intercity,ADI,Ahmedabad Junction,KOTA,Kota Junction,2026-02-01,00:00,20,Delayed,Congestion,1139,76,16,Clear,24,8993,37,Low,0,0,0,16,Monitor
736,13046,Vande Bharat,LKO,Lucknow Charbagh,CSTM,Mumbai CSMT,2026-05-04,17:15,20,At Risk,Track Obstruction,923,100,11,Clear,32,7617,40,Medium,0,1,0,25,Notify station control
737,14016,Jan Shatabdi,SDAH,Sealdah,SBC,KSR Bengaluru City,2026-01-05,12:45,0,Completed,No Delay,1330,60,9,Clear,36,4386,19,Low,0,0,0,0,Monitor
738,12599,Rajdhani,BPL,Bhopal Junction,PNBE,Patna Junction,2026-02-06,04:30,45,Delayed,Technical Fault,1096,70,1,Heatwave,29,9586,41,Medium,0,0,0,50,Notify station control
739,12386,Vande Bharat,BPL,Bhopal Junction,SDAH,Sealdah,2026-05-07,16:30,0,Completed,No Delay,1636,83,12,Clear,33,8405,24,Low,0,1,0,8,Monitor
740,14241,Duronto,PNBE,Patna Junction,NDLS,New Delhi,2026-02-11,17:00,0,On Time,No Delay,807,50,9,Clear,28,7393,19,Low,0,0,1,0,Monitor
741,14503,Garib Rath,SDAH,Sealdah,NDLS,New Delhi,2026-07-23,10:15,0,On Time,No Delay,958,58,9,Heatwave,36,6446,21,Low,1,0,1,6,Monitor
742,14425,Express,CNB,Kanpur Central,ADI,Ahmedabad Junction,2026-02-08,02:15,0,On Time,No Delay,1101,90,3,Clear,39,5520,34,Low,0,1,0,0,Monitor
743,12474,Vande Bharat,CNB,Kanpur Central,CSTM,Mumbai CSMT,2026-02-02,22:15,10,At Risk,Signal Failure,1688,86,3,Clear,18,9847,35,Low,0,1,0,19,Monitor
744,12512,Shatabdi,SBC,KSR Bengaluru City,CSTM,Mumbai CSMT,2026-08-27,06:45,0,On Time,No Delay,657,47,7,Heavy Rain,15,1601,31,Low,1,0,0,5,Monitor
745,14237,Sampark Kranti,KOTA,Kota Junction,MAS,Chennai Central,2026-04-06,10:15,8,At Risk,Late Incoming Train,192,100,9,Clear,18,9180,37,Low,0,1,0,9,Monitor
746,14538,Sampark Kranti,MAS,Chennai Central,NGP,Nagpur Junction,2026-05-10,05:00,0,On Time,No Delay,626,95,14,Cloudy,22,5948,34,Low,1,1,0,2,Monitor
747,14245,Rajdhani,BCT,Mumbai Central,HWH,Howrah Junction,2026-06-15,11:45,75,Delayed,Maintenance Work,204,98,11,Clear,32,6222,62,Medium,0,1,1,72,Notify station control
748,12998,Express,CNB,Kanpur Central,PNBE,Patna Junction,2026-08-11,12:45,0,On Time,No Delay,569,72,8,Storm,32,3094,34,Low,0,0,1,6,Monitor
749,12419,Intercity,VSKP,Visakhapatnam,BBS,Bhubaneswar,2026-03-07,03:00,0,On Time,No Delay,465,79,5,Clear,26,6291,23,Low,0,0,0,8,Monitor
750,12435,Superfast,BPL,Bhopal Junction,PNBE,Patna Junction,2026-08-14,13:15,0,On Time,No Delay,504,61,10,Cloudy,40,9300,21,Low,0,0,1,2,Monitor
751,13114,Shatabdi,BBS,Bhubaneswar,BCT,Mumbai Central,2026-03-11,20:30,0,Completed,No Delay,1424,73,16,Rain,39,3845,25,Low,0,0,0,10,Monitor
752,14616,Sampark Kranti,KOTA,Kota Junction,NGP,Nagpur Junction,2026-08-12,13:15,0,On Time,No Delay,1664,86,12,Clear,39,2399,28,Low,0,1,0,10,Monitor
753,12741,Express,SBC,KSR Bengaluru City,CNB,Kanpur Central,2026-08-01,10:00,40,At Risk,Congestion,1610,78,11,Cloudy,39,9676,40,Medium,0,1,1,42,Notify station control
754,14642,Shatabdi,BPL,Bhopal Junction,SDAH,Sealdah,2026-06-28,01:45,90,Delayed,Weather,317,83,15,Cloudy,26,3465,65,High,0,0,1,93,Reallocate platform and crew
755,12042,Superfast,PUNE,Pune Junction,ADI,Ahmedabad Junction,2026-01-24,06:30,120,At Risk,Weather,835,63,18,Cloudy,20,3383,70,High,0,0,1,118,Reallocate platform and crew
756,14090,Rajdhani,PUNE,Pune Junction,NGP,Nagpur Junction,2026-08-21,12:15,0,On Time,No Delay,786,77,1,Clear,14,7204,23,Low,0,0,0,6,Monitor
757,13014,Garib Rath,KOTA,Kota Junction,VSKP,Visakhapatnam,2026-03-11,23:45,20,Delayed,Maintenance Work,763,80,1,Rain,17,1158,39,Low,1,0,0,25,Monitor
758,14083,Superfast,ALD,Prayagraj Junction,NDLS,New Delhi,2026-03-16,02:00,0,On Time,No Delay,1737,82,2,Clear,34,4935,27,Low,1,1,0,0,Monitor
759,12367,Duronto,SDAH,Sealdah,MAS,Chennai Central,2026-09-02,16:45,0,Completed,No Delay,1725,66,3,Clear,27,5929,27,Low,0,1,1,0,Monitor
760,14412,Vande Bharat,BPL,Bhopal Junction,SDAH,Sealdah,2026-01-02,07:15,12,Delayed,Weather,645,86,8,Rain,15,9437,29,Low,0,0,1,8,Monitor
761,14341,Superfast,SDAH,Sealdah,MAS,Chennai Central,2026-01-07,07:45,0,On Time,No Delay,990,100,16,Cloudy,14,7098,34,Low,0,1,0,0,Monitor
762,12275,Superfast,NDLS,New Delhi,BPL,Bhopal Junction,2026-04-25,19:30,18,Delayed,Technical Fault,1278,79,1,Clear,43,4910,32,Low,1,0,0,24,Monitor
763,13034,Intercity,LKO,Lucknow Charbagh,SBC,KSR Bengaluru City,2026-07-26,03:15,0,On Time,No Delay,239,38,17,Clear,38,6946,15,Low,0,0,0,0,Monitor
764,12989,Vande Bharat,SBC,KSR Bengaluru City,KOTA,Kota Junction,2026-01-10,00:15,999,Cancelled,Signal Failure,1506,89,8,Clear,32,4434,100,Critical,1,1,1,999,Escalate to operations command
765,12664,Intercity,MAS,Chennai Central,CNB,Kanpur Central,2026-01-28,00:30,90,At Risk,Weather,1186,55,8,Storm,16,2057,63,Medium,1,0,1,85,Notify station control
766,14149,Sampark Kranti,NDLS,New Delhi,LKO,Lucknow Charbagh,2026-07-21,00:30,0,Completed,No Delay,933,78,7,Clear,34,3425,27,Low,0,0,0,6,Monitor
767,12919,Garib Rath,BCT,Mumbai Central,SDAH,Sealdah,2026-08-03,23:15,20,Delayed,Signal Failure,1155,79,8,Clear,28,9799,37,Low,0,0,0,23,Monitor
768,13287,Intercity,SBC,KSR Bengaluru City,CSTM,Mumbai CSMT,2026-05-24,15:15,0,On Time,No Delay,1133,82,14,Cloudy,19,517,29,Low,0,0,0,0,Monitor
769,12825,Vande Bharat,ADI,Ahmedabad Junction,NDLS,New Delhi,2026-02-20,11:45,5,Delayed,Weather,1333,84,16,Storm,39,4093,45,Medium,0,0,0,1,Notify station control
770,12548,Superfast,BBS,Bhubaneswar,GKP,Gorakhpur,2026-03-27,21:45,15,At Risk,Congestion,1013,62,6,Clear,32,6882,28,Low,0,0,0,24,Monitor
771,13156,Shatabdi,ALD,Prayagraj Junction,NGP,Nagpur Junction,2026-09-21,23:15,15,Delayed,Congestion,1501,51,6,Clear,42,1000,25,Low,1,1,0,14,Monitor
772,12689,Intercity,GKP,Gorakhpur,SDAH,Sealdah,2026-05-18,21:15,0,On Time,No Delay,409,81,17,Clear,31,987,28,Low,1,0,0,0,Monitor
773,14215,Superfast,PUNE,Pune Junction,CNB,Kanpur Central,2026-03-27,22:15,45,At Risk,Platform Change,1251,67,12,Cloudy,37,6984,43,Medium,0,0,1,43,Notify station control
774,12364,Duronto,NDLS,New Delhi,ALD,Prayagraj Junction,2026-04-01,00:00,0,Completed,No Delay,807,63,8,Rain,38,6953,22,Low,1,0,0,1,Monitor
775,12624,Shatabdi,JP,Jaipur Junction,HWH,Howrah Junction,2026-05-14,19:45,0,On Time,No Delay,423,63,13,Cloudy,14,5218,22,Low,0,0,0,7,Monitor
776,12187,Express,KOTA,Kota Junction,GKP,Gorakhpur,2026-07-23,18:30,0,Completed,No Delay,899,82,1,Cloudy,22,8059,32,Low,1,0,0,7,Monitor
777,13205,Express,BBS,Bhubaneswar,NDLS,New Delhi,2026-01-11,09:45,10,At Risk,Late Incoming Train,368,96,4,Cloudy,28,6523,38,Low,0,1,1,15,Monitor
778,12302,Duronto,SBC,KSR Bengaluru City,VSKP,Visakhapatnam,2026-02-23,16:45,5,Delayed,Maintenance Work,321,87,17,Heatwave,19,7888,29,Low,0,0,0,12,Monitor
779,12921,Rajdhani,MAS,Chennai Central,BBS,Bhubaneswar,2026-03-25,12:00,0,On Time,No Delay,404,60,3,Clear,20,8199,23,Low,0,0,1,2,Monitor
780,12744,Sampark Kranti,JP,Jaipur Junction,MAS,Chennai Central,2026-06-26,22:45,25,At Risk,Track Obstruction,387,39,6,Rain,18,2462,29,Low,1,0,1,20,Monitor
781,13182,Jan Shatabdi,NDLS,New Delhi,ALD,Prayagraj Junction,2026-09-08,04:00,0,On Time,No Delay,751,54,3,Cloudy,16,1729,19,Low,0,0,1,6,Monitor
782,12274,Duronto,NDLS,New Delhi,SBC,KSR Bengaluru City,2026-07-04,17:00,90,Delayed,Late Incoming Train,944,85,18,Rain,22,8129,59,Medium,1,0,1,90,Notify station control
783,12439,Duronto,PUNE,Pune Junction,SBC,KSR Bengaluru City,2026-06-08,15:15,60,At Risk,Signal Failure,1224,77,9,Clear,32,8992,45,Medium,0,0,1,64,Notify station control
784,14262,Vande Bharat,SBC,KSR Bengaluru City,PNBE,Patna Junction,2026-02-16,16:00,0,On Time,No Delay,1477,68,18,Clear,41,1461,22,Low,1,0,0,0,Monitor
785,12781,Intercity,GKP,Gorakhpur,MAS,Chennai Central,2026-08-20,07:15,45,At Risk,Weather,1012,90,11,Heatwave,38,6765,43,Medium,0,1,1,46,Notify station control
786,14083,Duronto,BBS,Bhubaneswar,ALD,Prayagraj Junction,2026-03-25,20:00,0,On Time,No Delay,1198,81,3,Cloudy,27,806,27,Low,1,0,0,0,Monitor
787,13236,Express,CNB,Kanpur Central,ADI,Ahmedabad Junction,2026-02-23,15:30,40,Delayed,Late Incoming Train,1419,70,16,Clear,30,8291,39,Low,0,0,0,39,Monitor
788,14681,Shatabdi,ALD,Prayagraj Junction,PNBE,Patna Junction,2026-04-12,09:15,0,On Time,No Delay,735,87,10,Clear,33,8713,27,Low,0,0,0,5,Monitor
789,14036,Garib Rath,LKO,Lucknow Charbagh,ALD,Prayagraj Junction,2026-09-06,03:30,20,Delayed,Technical Fault,1756,72,12,Rain,36,9192,34,Low,0,1,1,25,Monitor
790,14682,Superfast,PUNE,Pune Junction,SBC,KSR Bengaluru City,2026-09-11,04:30,0,On Time,No Delay,1197,66,12,Cloudy,21,6716,24,Low,1,0,1,3,Monitor
791,12816,Intercity,KOTA,Kota Junction,CSTM,Mumbai CSMT,2026-05-02,13:45,60,At Risk,Crew Delay,701,90,18,Clear,32,4839,53,Medium,0,1,1,68,Notify station control
792,14256,Intercity,KOTA,Kota Junction,HWH,Howrah Junction,2026-09-18,08:15,0,On Time,No Delay,431,68,12,Clear,38,1192,21,Low,0,0,0,0,Monitor
793,12606,Sampark Kranti,HWH,Howrah Junction,VSKP,Visakhapatnam,2026-04-05,00:30,0,On Time,No Delay,1458,73,8,Clear,21,3911,27,Low,1,0,0,3,Monitor
794,13227,Jan Shatabdi,PUNE,Pune Junction,MAS,Chennai Central,2026-08-20,05:15,18,Delayed,Weather,1175,63,4,Clear,17,4333,34,Low,0,0,0,26,Monitor
795,12301,Vande Bharat,PUNE,Pune Junction,JP,Jaipur Junction,2026-07-01,17:30,75,Delayed,Platform Change,1093,77,3,Cloudy,27,7576,55,Medium,0,0,1,74,Notify station control
796,14068,Superfast,SBC,KSR Bengaluru City,PNBE,Patna Junction,2026-02-20,22:45,0,On Time,No Delay,1440,82,13,Cloudy,40,7544,29,Low,0,0,0,1,Monitor
797,12628,Superfast,MAS,Chennai Central,NGP,Nagpur Junction,2026-01-13,18:30,0,On Time,No Delay,1644,73,16,Clear,44,697,28,Low,0,1,1,2,Monitor
798,12063,Intercity,CNB,Kanpur Central,NGP,Nagpur Junction,2026-03-08,18:15,75,At Risk,Weather,893,86,8,Clear,22,6306,55,Medium,0,0,1,85,Notify station control
799,13107,Vande Bharat,BCT,Mumbai Central,NGP,Nagpur Junction,2026-03-28,13:30,0,On Time,No Delay,369,61,9,Heatwave,16,8905,21,Low,0,0,0,9,Monitor
800,14040,Duronto,MAS,Chennai Central,ADI,Ahmedabad Junction,2026-01-26,06:00,25,Delayed,Weather,1352,63,6,Fog,23,641,45,Medium,0,0,0,33,Notify station control
801,12823,Jan Shatabdi,CSTM,Mumbai CSMT,SDAH,Sealdah,2026-05-17,00:00,0,On Time,No Delay,1738,69,18,Cloudy,43,3360,23,Low,0,1,0,0,Monitor
802,12507,Express,BPL,Bhopal Junction,SDAH,Sealdah,2026-02-23,07:15,0,On Time,No Delay,1427,82,12,Clear,32,4875,28,Low,0,0,0,2,Monitor
803,12249,Duronto,KOTA,Kota Junction,BCT,Mumbai Central,2026-07-25,08:45,0,On Time,No Delay,1183,69,18,Cloudy,37,6917,25,Low,1,0,0,9,Monitor
804,14217,Rajdhani,MAS,Chennai Central,ALD,Prayagraj Junction,2026-01-11,15:15,0,On Time,No Delay,932,62,10,Cloudy,17,7056,22,Low,0,0,0,7,Monitor
805,14082,Duronto,NDLS,New Delhi,PUNE,Pune Junction,2026-08-12,06:45,15,Delayed,Weather,991,76,8,Cloudy,42,7493,30,Low,0,0,1,25,Monitor
806,12132,Duronto,SDAH,Sealdah,VSKP,Visakhapatnam,2026-02-20,09:30,999,Cancelled,Signal Failure,897,78,15,Clear,43,6633,100,Critical,0,0,1,999,Escalate to operations command
807,14206,Express,PNBE,Patna Junction,GKP,Gorakhpur,2026-09-12,00:45,0,On Time,No Delay,815,83,4,Clear,18,9501,27,Low,0,0,0,0,Monitor
808,14659,Superfast,BPL,Bhopal Junction,LKO,Lucknow Charbagh,2026-09-24,23:00,35,Delayed,Late Incoming Train,1379,71,4,Clear,42,7482,41,Medium,0,0,0,45,Notify station control
809,13085,Express,SDAH,Sealdah,NGP,Nagpur Junction,2026-07-19,06:45,30,At Risk,Crew Delay,370,67,8,Clear,15,1021,34,Low,0,0,0,25,Monitor
810,14473,Garib Rath,SDAH,Sealdah,VSKP,Visakhapatnam,2026-08-06,21:45,0,Completed,No Delay,315,67,6,Clear,41,913,22,Low,0,0,0,10,Monitor
811,14144,Sampark Kranti,HWH,Howrah Junction,CSTM,Mumbai CSMT,2026-04-08,00:45,45,At Risk,Weather,1361,46,11,Fog,34,760,47,Medium,1,0,0,44,Notify station control
812,13066,Garib Rath,BBS,Bhubaneswar,ADI,Ahmedabad Junction,2026-04-15,04:00,60,Delayed,Weather,707,64,4,Clear,40,2724,47,Medium,0,0,1,62,Notify station control
813,13153,Intercity,ALD,Prayagraj Junction,PNBE,Patna Junction,2026-03-14,15:00,0,On Time,No Delay,346,76,3,Clear,38,5443,23,Low,0,0,1,8,Monitor
814,12340,Vande Bharat,LKO,Lucknow Charbagh,BPL,Bhopal Junction,2026-04-20,05:30,120,Delayed,Platform Change,1385,96,7,Heatwave,26,7346,80,High,0,1,1,122,Reallocate platform and crew
815,14549,Shatabdi,MAS,Chennai Central,CNB,Kanpur Central,2026-08-06,01:15,0,On Time,No Delay,1690,94,16,Clear,42,1812,34,Low,0,1,0,0,Monitor
816,13186,Sampark Kranti,JP,Jaipur Junction,BPL,Bhopal Junction,2026-04-26,05:45,0,On Time,No Delay,814,76,11,Clear,17,938,28,Low,0,0,0,0,Monitor
817,12876,Garib Rath,BBS,Bhubaneswar,HWH,Howrah Junction,2026-05-02,12:30,10,Delayed,Weather,463,94,9,Fog,19,738,50,Medium,0,1,0,8,Notify station control
818,14146,Jan Shatabdi,MAS,Chennai Central,PNBE,Patna Junction,2026-04-15,04:15,0,On Time,No Delay,1001,84,14,Rain,39,4152,32,Low,0,0,0,4,Monitor
819,12176,Shatabdi,BCT,Mumbai Central,HWH,Howrah Junction,2026-07-04,20:30,0,On Time,No Delay,438,79,11,Storm,36,5542,41,Medium,0,0,1,2,Notify station control
820,12147,Duronto,SBC,KSR Bengaluru City,PNBE,Patna Junction,2026-07-26,22:30,0,On Time,No Delay,280,80,2,Clear,40,4431,27,Low,0,0,1,0,Monitor
821,13096,Intercity,VSKP,Visakhapatnam,SDAH,Sealdah,2026-04-24,05:45,18,Delayed,Technical Fault,693,61,11,Clear,18,988,26,Low,1,0,0,20,Monitor
822,13192,Superfast,BCT,Mumbai Central,NDLS,New Delhi,2026-09-19,19:15,45,At Risk,Track Obstruction,1168,84,17,Clear,20,3758,42,Medium,0,0,1,50,Notify station control
823,14193,Sampark Kranti,NGP,Nagpur Junction,BCT,Mumbai Central,2026-04-15,08:30,90,Delayed,Congestion,216,58,3,Clear,29,7136,56,Medium,0,0,1,92,Notify station control
824,14533,Intercity,BCT,Mumbai Central,ADI,Ahmedabad Junction,2026-01-03,08:45,0,On Time,No Delay,263,87,8,Cloudy,44,7660,27,Low,0,0,1,7,Monitor
825,12999,Sampark Kranti,NDLS,New Delhi,ALD,Prayagraj Junction,2026-09-21,06:00,120,Delayed,Weather,1273,69,4,Storm,41,4147,81,High,0,0,1,125,Reallocate platform and crew
826,13083,Vande Bharat,NGP,Nagpur Junction,CSTM,Mumbai CSMT,2026-07-07,23:15,0,Completed,No Delay,445,65,9,Clear,19,5089,26,Low,0,0,0,3,Monitor
827,12940,Jan Shatabdi,CNB,Kanpur Central,HWH,Howrah Junction,2026-02-17,17:45,10,Delayed,Technical Fault,428,76,8,Clear,16,4724,28,Low,1,0,0,8,Monitor
828,14286,Sampark Kranti,PNBE,Patna Junction,HWH,Howrah Junction,2026-01-20,02:00,0,On Time,No Delay,1795,75,3,Clear,25,3190,26,Low,1,1,0,1,Monitor
829,13021,Jan Shatabdi,MAS,Chennai Central,SDAH,Sealdah,2026-04-20,20:45,20,At Risk,Congestion,241,68,14,Cloudy,17,8695,35,Low,0,0,0,27,Monitor
830,12785,Express,GKP,Gorakhpur,CSTM,Mumbai CSMT,2026-06-01,21:30,90,Delayed,Congestion,587,88,2,Clear,15,7720,61,Medium,1,0,1,85,Notify station control
831,12041,Express,LKO,Lucknow Charbagh,VSKP,Visakhapatnam,2026-06-08,09:45,0,On Time,No Delay,1397,50,5,Fog,29,586,33,Low,0,0,0,5,Monitor
832,12308,Garib Rath,JP,Jaipur Junction,BCT,Mumbai Central,2026-05-24,09:45,15,Delayed,Platform Change,493,72,9,Rain,24,7050,27,Low,0,0,1,21,Monitor
833,12942,Duronto,NDLS,New Delhi,BCT,Mumbai Central,2026-01-09,09:00,15,At Risk,Track Obstruction,922,100,11,Heatwave,24,2327,36,Low,0,1,0,16,Monitor
834,14439,Jan Shatabdi,ALD,Prayagraj Junction,KOTA,Kota Junction,2026-02-19,00:00,12,Delayed,Signal Failure,818,100,14,Heatwave,16,5760,35,Low,0,1,0,8,Monitor
835,14247,Intercity,BBS,Bhubaneswar,BCT,Mumbai Central,2026-09-08,13:00,30,Delayed,Late Incoming Train,687,83,4,Clear,34,575,40,Medium,0,0,0,31,Notify station control
836,14594,Vande Bharat,PNBE,Patna Junction,ADI,Ahmedabad Junction,2026-07-19,09:30,25,Delayed,Crew Delay,1435,80,13,Clear,20,8947,35,Low,0,0,1,31,Monitor
837,14033,Sampark Kranti,PUNE,Pune Junction,HWH,Howrah Junction,2026-04-08,23:00,12,Delayed,Crew Delay,1709,75,6,Clear,40,9806,28,Low,0,1,0,14,Monitor
838,12428,Garib Rath,CSTM,Mumbai CSMT,NGP,Nagpur Junction,2026-06-07,14:15,0,Completed,No Delay,1514,83,7,Cloudy,36,2114,32,Low,0,1,0,0,Monitor
839,13142,Intercity,SDAH,Sealdah,HWH,Howrah Junction,2026-08-09,13:00,0,On Time,No Delay,743,66,5,Cloudy,20,6676,23,Low,0,0,1,1,Monitor
840,14060,Duronto,ADI,Ahmedabad Junction,NDLS,New Delhi,2026-03-10,08:15,0,On Time,No Delay,302,79,15,Fog,30,376,37,Low,0,0,0,8,Monitor
841,14298,Jan Shatabdi,NGP,Nagpur Junction,NDLS,New Delhi,2026-04-15,04:00,0,On Time,No Delay,800,65,9,Cloudy,40,8112,23,Low,0,0,1,3,Monitor
842,13229,Jan Shatabdi,PUNE,Pune Junction,PNBE,Patna Junction,2026-02-19,03:15,15,Delayed,Congestion,1249,63,9,Clear,36,1919,27,Low,0,0,0,19,Monitor
843,12797,Jan Shatabdi,JP,Jaipur Junction,ADI,Ahmedabad Junction,2026-03-04,23:30,18,At Risk,Late Incoming Train,186,77,18,Cloudy,27,9605,32,Low,0,0,0,13,Monitor
844,12876,Vande Bharat,NGP,Nagpur Junction,ADI,Ahmedabad Junction,2026-08-25,07:30,45,Delayed,Maintenance Work,1459,78,7,Clear,42,4312,43,Medium,0,0,0,41,Notify station control
845,14072,Rajdhani,BBS,Bhubaneswar,PUNE,Pune Junction,2026-03-08,23:15,12,Delayed,Technical Fault,653,72,15,Cloudy,27,9065,33,Low,0,0,1,9,Monitor
846,12305,Garib Rath,SBC,KSR Bengaluru City,BPL,Bhopal Junction,2026-04-20,03:00,0,On Time,No Delay,426,78,9,Cloudy,34,9944,27,Low,0,0,0,1,Monitor
847,12706,Express,ADI,Ahmedabad Junction,GKP,Gorakhpur,2026-05-01,13:30,18,Delayed,Signal Failure,1182,80,14,Rain,42,5718,31,Low,1,0,0,15,Monitor
848,14490,Duronto,CNB,Kanpur Central,BBS,Bhubaneswar,2026-01-24,05:15,0,On Time,No Delay,1464,66,1,Clear,35,4809,22,Low,0,0,0,0,Monitor
849,12438,Express,SBC,KSR Bengaluru City,PUNE,Pune Junction,2026-03-16,12:00,0,On Time,No Delay,1446,80,7,Clear,25,5208,31,Low,0,0,0,8,Monitor
850,12169,Duronto,MAS,Chennai Central,BPL,Bhopal Junction,2026-03-09,22:30,75,Delayed,Technical Fault,613,81,3,Clear,18,7100,53,Medium,0,0,1,83,Notify station control
851,14669,Sampark Kranti,VSKP,Visakhapatnam,MAS,Chennai Central,2026-07-10,12:45,0,On Time,No Delay,532,55,9,Clear,24,4563,23,Low,0,0,0,1,Monitor
852,12389,Duronto,CSTM,Mumbai CSMT,KOTA,Kota Junction,2026-03-02,16:15,999,Cancelled,Late Incoming Train,411,58,18,Rain,29,6765,100,Critical,1,0,1,999,Escalate to operations command
853,12431,Rajdhani,ALD,Prayagraj Junction,PUNE,Pune Junction,2026-07-16,06:15,10,Delayed,Late Incoming Train,351,66,9,Clear,22,5740,29,Low,0,0,0,9,Monitor
854,14319,Sampark Kranti,PUNE,Pune Junction,CSTM,Mumbai CSMT,2026-01-02,00:00,75,Delayed,Late Incoming Train,344,91,11,Rain,28,2997,61,Medium,0,1,1,78,Notify station control
855,12242,Duronto,NDLS,New Delhi,BCT,Mumbai Central,2026-06-13,21:00,10,At Risk,Crew Delay,1164,82,18,Clear,34,6387,28,Low,0,0,0,5,Monitor
856,12934,Duronto,PNBE,Patna Junction,JP,Jaipur Junction,2026-05-17,19:00,0,On Time,No Delay,1409,74,18,Fog,29,374,38,Low,0,0,0,0,Monitor
857,14206,Jan Shatabdi,LKO,Lucknow Charbagh,NGP,Nagpur Junction,2026-09-05,12:45,5,Delayed,Signal Failure,185,59,13,Clear,25,5894,21,Low,1,0,0,11,Monitor
858,12753,Duronto,GKP,Gorakhpur,HWH,Howrah Junction,2026-01-18,22:00,25,At Risk,Weather,1534,49,2,Storm,25,5381,45,Medium,1,1,1,25,Notify station control
859,14027,Vande Bharat,BBS,Bhubaneswar,BCT,Mumbai Central,2026-01-09,01:00,0,On Time,No Delay,1323,62,1,Fog,38,719,38,Low,0,0,0,0,Monitor
860,14316,Jan Shatabdi,BPL,Bhopal Junction,ADI,Ahmedabad Junction,2026-09-07,12:15,0,Completed,No Delay,715,79,9,Rain,44,3207,28,Low,0,0,0,10,Monitor
861,13235,Vande Bharat,PNBE,Patna Junction,CSTM,Mumbai CSMT,2026-03-01,07:45,0,On Time,No Delay,1606,57,6,Clear,30,9662,24,Low,0,1,0,4,Monitor
862,14356,Vande Bharat,SDAH,Sealdah,BPL,Bhopal Junction,2026-03-12,11:30,0,On Time,No Delay,695,89,3,Storm,28,968,45,Medium,0,0,1,7,Notify station control
863,13230,Superfast,BCT,Mumbai Central,SBC,KSR Bengaluru City,2026-05-28,09:00,0,On Time,No Delay,781,86,1,Rain,35,1686,29,Low,0,0,1,7,Monitor
864,13131,Jan Shatabdi,PUNE,Pune Junction,HWH,Howrah Junction,2026-05-22,20:00,18,Delayed,Weather,859,100,5,Fog,28,704,55,Medium,0,1,0,14,Notify station control
865,12628,Vande Bharat,JP,Jaipur Junction,PUNE,Pune Junction,2026-02-03,03:45,0,Completed,No Delay,577,81,11,Fog,42,805,37,Low,0,0,0,7,Monitor
866,12370,Rajdhani,PNBE,Patna Junction,VSKP,Visakhapatnam,2026-01-14,01:00,20,Delayed,Track Obstruction,1472,65,7,Clear,29,3851,28,Low,0,0,0,27,Monitor
867,14298,Superfast,CSTM,Mumbai CSMT,ALD,Prayagraj Junction,2026-01-19,03:30,0,Completed,No Delay,1205,92,17,Clear,42,437,26,Low,0,1,0,0,Monitor
868,14417,Sampark Kranti,NGP,Nagpur Junction,HWH,Howrah Junction,2026-07-01,19:15,5,Delayed,Platform Change,863,55,16,Clear,34,8448,21,Low,1,0,0,9,Monitor
869,14645,Duronto,BPL,Bhopal Junction,CNB,Kanpur Central,2026-04-13,16:45,999,Cancelled,Track Obstruction,432,90,10,Clear,17,9134,100,Critical,0,1,1,999,Escalate to operations command
870,14518,Intercity,LKO,Lucknow Charbagh,NDLS,New Delhi,2026-08-09,10:30,0,On Time,No Delay,502,60,7,Fog,33,696,35,Low,0,0,0,0,Monitor
